Date,Location,Team,GF,GA,GF%,GA%,Sh%,Sv%,PP%,PK%,Class
43350,Home,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Loss
43350,Away,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43350,Home,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Win
43350,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Loss
43350,Away,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Win
43350,Home,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Loss
43350,Home,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43350,Away,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43350,Away,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43352,Away,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Win
43352,Away,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43352,Home,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43352,Away,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Loss
43352,Home,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Loss
43352,Away,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43352,Home,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Win
43352,Away,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43352,Home,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43352,Away,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Win
43353,Away,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Win
43355,Home,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Loss
43356,Home,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Win
43357,Home,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Win
43357,Home,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Loss
43357,Away,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Win
43357,Home,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43357,Away,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Loss
43357,Home,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43357,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Loss
43357,Away,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43357,Home,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Win
43358,Away,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43359,Away,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43359,Home,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43359,Away,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Loss
43359,Away,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Win
43359,Home,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43359,Away,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Win
43362,Home,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Loss
43362,Away,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43363,Home,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43364,Home,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Loss
43364,Home,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43364,Away,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Loss
43364,Home,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43364,Away,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43364,Home,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43364,Away,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43364,Home,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43364,Home,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43365,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Win
43366,Home,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
