Location,Team,GF,GA,GF%,GA%,Sh%,Sv%,PP%,PK%,Target
1,0,247,161,5.15,3.35,36.85,29.08,26.17,82.06,0
0,1,223,144,4.65,3,40.69,32.31,32.44,84.1,1
1,2,202,211,4.21,4.4,30.75,34.35,16.16,78.21,1
0,3,200,207,4.17,4.31,34.15,33.9,16.75,76.35,0
0,4,207,151,4.31,3.15,33.31,27.06,25.29,82.87,1
1,5,234,136,4.88,2.83,41.5,31.29,23.61,83.41,0
1,6,162,236,3.38,4.92,31.4,39.08,13.99,71.84,0
0,7,263,179,5.48,3.73,45.92,36.94,29.06,83.33,1
0,8,172,185,3.58,3.85,33.73,34.6,19.84,80.43,0
0,8,172,185,3.58,3.85,33.73,34.6,19.84,80.43,1
0,7,263,179,5.48,3.73,45.92,36.94,29.06,83.33,1
1,1,223,144,4.65,3,40.69,32.31,32.44,84.1,1
0,5,234,136,4.88,2.83,41.5,31.29,23.61,83.41,0
1,4,207,151,4.31,3.15,33.31,27.06,25.29,82.87,0
0,0,247,161,5.15,3.35,36.85,29.08,26.17,82.06,1
1,3,200,207,4.17,4.31,34.15,33.9,16.75,76.35,1
0,6,162,236,3.38,4.92,31.4,39.08,13.99,71.84,0
1,2,202,211,4.21,4.4,30.75,34.35,16.16,78.21,0
0,9,189,198,3.94,4.13,34.27,34.27,21.24,79.65,1
0,2,202,211,4.21,4.4,30.75,34.35,16.16,78.21,1
1,4,207,151,4.31,3.15,33.31,27.06,25.29,82.87,0
1,8,172,185,3.58,3.85,33.73,34.6,19.84,80.43,1
1,9,189,198,3.94,4.13,34.27,34.27,21.24,79.65,1
1,0,247,161,5.15,3.35,36.85,29.08,26.17,82.06,0
0,2,202,211,4.21,4.4,30.75,34.35,16.16,78.21,1
1,1,223,144,4.65,3,40.69,32.31,32.44,84.1,1
0,4,207,151,4.31,3.15,33.31,27.06,25.29,82.87,0
1,5,234,136,4.88,2.83,41.5,31.29,23.61,83.41,1
0,3,200,207,4.17,4.31,34.15,33.9,16.75,76.35,0
0,7,263,179,5.48,3.73,45.92,36.94,29.06,83.33,1
1,6,162,236,3.38,4.92,31.4,39.08,13.99,71.84,1
0,1,223,144,4.65,3,40.69,32.31,32.44,84.1,1
0,5,234,136,4.88,2.83,41.5,31.29,23.61,83.41,1
1,7,263,179,5.48,3.73,45.92,36.94,29.06,83.33,1
0,4,207,151,4.31,3.15,33.31,27.06,25.29,82.87,0
0,6,162,236,3.38,4.92,31.4,39.08,13.99,71.84,1
1,8,172,185,3.58,3.85,33.73,34.6,19.84,80.43,0
0,9,189,198,3.94,4.13,34.27,34.27,21.24,79.65,1
1,4,207,151,4.31,3.15,33.31,27.06,25.29,82.87,0
0,1,223,144,4.65,3,40.69,32.31,32.44,84.1,1
1,8,172,185,3.58,3.85,33.73,34.6,19.84,80.43,0
1,9,189,198,3.94,4.13,34.27,34.27,21.24,79.65,0
1,0,247,161,5.15,3.35,36.85,29.08,26.17,82.06,1
0,4,207,151,4.31,3.15,33.31,27.06,25.29,82.87,0
1,2,202,211,4.21,4.4,30.75,34.35,16.16,78.21,0
0,7,263,179,5.48,3.73,45.92,36.94,29.06,83.33,1
1,1,223,144,4.65,3,40.69,32.31,32.44,84.1,1
0,8,172,185,3.58,3.85,33.73,34.6,19.84,80.43,0
1,5,234,136,4.88,2.83,41.5,31.29,23.61,83.41,1
1,6,162,236,3.38,4.92,31.4,39.08,13.99,71.84,0
0,3,200,207,4.17,4.31,34.15,33.9,16.75,76.35,1
1,6,162,236,3.38,4.92,31.4,39.08,13.99,71.84,0
0,2,202,211,4.21,4.4,30.75,34.35,16.16,78.21,1
1,7,263,179,5.48,3.73,45.92,36.94,29.06,83.33,1
